Main Link,http://www.va.gov/TRM/searchpage.asp?catId=46&catname=Software%20Change%20and%20Configuration%20Management%20Tools,,,,
,,,,,
TRM Name,OS,Type,Decision,TRM Link,Analysis
Apache Subversion,Y,SVCS,P,http://www.va.gov/TRM/ToolPage.asp?tid=6573,An enterprise license has already been acquired for a comparable technology.
Apache Zookeeper,Y,Config,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=9590,
Archiva,Y,Repository,P,http://www.va.gov/TRM/ToolPage.asp?tid=7727,
CA Agile Central,?,PM,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=9201,Enterprise licenses have already been acquired for comparable technologies.
CVS,Y,SVCS,P,http://www.va.gov/TRM/ToolPage.asp?tid=194,CVS does not support atomic commits of changes to versioned objects.
Dimensions CM,N,??,U,http://www.va.gov/TRM/ToolPage.asp?tid=5136,The technology is proprietary and may lead to vendor lock-in.
eGit,Y,DVCS,U,http://www.va.gov/TRM/ToolPage.asp?tid=6395,plugin of the Git  for the Eclipse IDE
Endevor Quick Edit,N,??,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=9480,This technology is only compatible with the z/OS mainframe and is not portable.
Endevor Software Change Manager (SCM),N,??,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=9481,This technology is only compatible with the z/OS mainframe and is not portable.
Fisheye,N,??,U,http://www.va.gov/TRM/ToolPage.asp?tid=6541,enables developers to browse and search software source code
Git,Y,DVCS,U,http://www.va.gov/TRM/ToolPage.asp?tid=6396,An enterprise license has already been acquired for a comparable technology.
GitHub Desktop,Y,DVCS,U,http://www.va.gov/TRM/ToolPage.asp?tid=9452,An enterprise license has already been acquired for a comparable technology.
Github Enterprise,Y,DVCS,U,http://www.va.gov/TRM/ToolPage.asp?tid=9533,An enterprise license has already been acquired for a comparable technology.
GitLab,Y,DVCS,U,http://www.va.gov/TRM/ToolPage.asp?tid=9580,An enterprise license has already been acquired for a comparable technology.
GitLab Enterprise Edition (EE),Y,DVCS,U,http://www.va.gov/TRM/ToolPage.asp?tid=9463,An enterprise license has already been acquired for a comparable technology.
MetaHelper,N,Config,P,http://www.va.gov/TRM/ToolPage.asp?tid=5120#,"manages the addition, subtraction, and merging of system configuration change-sets"
Microsoft BitLocker Administration and Monitoring (MBAM),N,security,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=8873,simplified administrative interface for BitLocker Drive Encryption
Nexus,Y,Repository,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=6411,An enterprise license has already been acquired for a comparable technology.
Perforce,N,RCS,P,http://www.va.gov/TRM/ToolPage.asp?tid=268,Rational ClearCase with Multisite and Rational Team Concert are the approved technologies for software configuration management.
Rational ClearCase with MultiSite,N,Config,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=39,Rational ClearCase is being deprecated in favor of Rational Team Concert
Rational Publishing Engine,N,Doc Gen,A,http://www.va.gov/TRM/ToolPage.asp?tid=6284,"automates the generation of documents in different formats (PDF, HTML, Word)"
Rational Team Concert (RTC),N,Dev,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=5085,software development/delivery environment based on IBM Jazz platform
Salt,N,Config,U,http://www.va.gov/TRM/ToolPage.asp?tid=9466,"configuration management system, that maintains remote nodes in defined states"
Supermicro Update Manager (SUM),Y,OS Tool,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=9172,allows users to make local or remote edits to the BIOS and BMC/IPMI firmware
Team Foundation Server (TFS),N,Dev,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=5668,"Microsoft source control, data collection, reporting, and project tracking"
Tortoise SVN,Y,RCS,AwC,http://www.va.gov/TRM/ToolPage.asp?tid=6678,"Apache Subversion (SVN) client, implemented as a Microsoft Windows shell extension"
Visual SourceSafe (VSS),N,RCS,P,http://www.va.gov/TRM/ToolPage.asp?tid=5669,Micrsoft file-level version control system
,,,,,
,,,,,
,,,,,
Dev,software development platform,,,,
RCS,revision control system,,,,
DVCS,distributed version control and source code management system,,,,
SVCS,software version control system,,,,
Config,configuration information manager,,,,
Repository,Non-source code control repository,,,,
PM,project management,,,,
U,Unapproved,,,,
P,Prohibited,,,,
A,Approved,,,,
AwC,Approved with Constraints,,,,
,,,,,
z/OS,z/OS is a 64-bit operating system for IBM mainframe computers.,,,,
Git,open source distributed version control and source code management system,,,,
VIP policy,"This product is no longer approved for information technology (IT) projects that are or will be mandated to follow standardized processes and tools governing IT activity critical to VA`s implementation of the Veteran-focused Integration Process (VIP). Projects to be governed by VIP are required to transition to the standardized tools by October 1, 2016. Please refer to the CIO memo dated January 4, 2016 that mandated specific criteria for being designated as VIP projects and the accompanying January 19, 2016 memo regarding OI&T project management and software/systems development standardized tools and repositories (see Reference tab).",,,,
