Vendor ID,Vendor,Count
---,---,---
1071,Microsoft ,1065
739,IBM ,841
749,IETF ,713
1269,Oracle ,561
38,Adobe ,435
144,ASF ,383
1828,W3C ,265
826,ISO ,237
267,CA Technologies ,212
170,"Autodesk, Inc. ",204
831,ITU ,197
318,Cisco ,189
1186,NIST ,165
728,HP ,163
811,InterSystems ,154
1819,VMware ,153
1484,SAS ,142
1411,Red Hat ,141
125,Apple ,134
1124,N/A,127
1209,Nuance ,118
719,HL7 ,115
427,Dell ,109
428,Dell Software ,92
320,Citrix ,90
475,"Document Storage Systems, Inc (DSS) ",89
143,ASCX12 ,86
236,BMC Software ,81
667,Google ,81
1535,Sindre Sorhus ,81
751,IHE ,80
942,KWizCom ,78
1217,OASIS ,75
1322,Philips ,75
509,Eclipse ,70
1287,"PAR, Inc. ",70
701,HealthData ,69
1028,McAfee ,69
1589,SpringSource ,69
536,EMC ,68
1302,Pearson ,67
1560,SolarWinds ,67
1141,NCH Software ,64
176,Avaya ,63
601,"Feith Systems and Software, Inc. ",61
5,3M ,60
151,ASTM ,59
1062,Micro Focus ,58
199,BD ,54
1635,Symantec ,53
746,Idera ,52
514,"EFI (Electronics For Imaging, Inc) ",50
1238,OMG ,49
1205,"npm, Inc. ",47
1154,NetApp ,46
634,Fujitsu ,45
743,Ideagen ,45
79,Altova ,44
1336,Pivotal ,43
748,IEEE ,42
818,Ipswitch ,42
1158,NetIQ ,42
774,Informatica ,41
1789,Verint ,40
138,"Articulate Global, Inc. ",39
319,"Cisco Systems, INC ",38
1648,Tableau Software ,38
1702,TIBCO ,37
496,Drupal ,36
583,Express.js ,35
824,isaacs ,35
1659,TechSmith ,35
1088,MIT (Mass. Inst. Tech.) ,34
1180,NICE Systems ,34
1249,Open Geospatial Consortium ,34
1344,Plexis Healthcare Systems ,34
332,CMS ,33
1544,SmartBear Software ,33
1662,Telerik ,33
1148,NEC ,32
1282,Palisade ,31
1482,SAP ,31
1576,SourceForge ,31
324,CLEO ,30
1030,McKesson ,30
1152,Neopost ,30
511,ECMA ,29
612,Flexera Software ,29
276,Canon ,28
456,Digital Juice ,28
567,Esri ,28
103,ANSI ,27
180,Avid ,27
857,JasperSoft ,27
1335,Pitney Bowes ,27
1632,Super Micro ,27
1790,Veritas ,27
200,BDNA Corporation ,26
616,Fluke ,26
1433,Riverbed ,26
1748,"UNICOM Systems, Inc. ",26
515,eGain ,25
1416,REMS Software ,25
1443,"Rochester Software Associates, Inc. ",25
1503,SDM Software ,25
1863,Wikimedia Foundation ,25
53,Airwatch ,24
136,Arnout Kazemier ,24
357,Compuware ,24
712,Hewlett Packard Enterprise ,24
814,Intuit ,24
894,jshttp ,24
1140,Natus Medical Inc. ,24
116,APC ,23
218,Bio-Optronics ,23
627,Freedom Scientific ,23
1156,NetCentric Technologies ,23
1876,"Wolters Kluwer Financial Services, Inc. ",23
30,ActiveState ,22
69,Alfresco ,22
371,Corel ,22
554,EPA ,22
727,Howard Medical ,22
838,Jack Henry & Associates ,22
901,Juniper Networks ,22
927,Kitware ,22
1373,Psychological Assessment Resources ,22
2,1E ,21
147,Aspose ,21
534,Embarcadero Technologies ,21
1224,Observational Health Data Sciences & Informatics (OHDSI) ,21
1261,OpenText ,21
1670,Terracotta ,21
1776,Vanderbilt University ,21
1818,VMturbo ,21
101,Angular UI Team ,20
870,Jeremy Ashkenas ,20
903,Just Great Software ,20
960,Lexmark ,20
1037,MediaWiki ,20
1041,Medicity ,20
1612,Stefan Küng Open Source Tools ,20
1848,Welch Allyn ,20
118,Apelon ,19
166,Attachmate ,19
764,IMPLBITS ,19
776,Information Builders ,19
931,Kofax ,19
944,Laerdal ,19
45,AGFA HealthCare ,18
487,Doug Wilson ,18
633,FTR Limited ,18
640,GE Healthcare ,18
676,Greens Publishing ,18
747,"IDM Computer Solutions, Inc. ",18
847,James Halliday ,18
1083,Minitab Inc. ,18
1089,MITRE ,18
1483,Sapien Technologies Inc. ,18
1498,"Scientific Software International, Inc ",18
1703,Tigris.org ,18
1773,VA OIT Product Development ,18
80,AMA ,17
193,Bamboo Solutions ,17
381,CruiseControl development team ,17
402,Dassault Systemes SolidWorks Corp ,17
409,Datawatch ,17
658,Given Imaging ,17
692,hapijs ,17
1082,Mindware Technologies LTD ,17
1113,Multi-Health Systems Inc. ,17
1125,Nagios Enterprises ,17
1409,Red Egg Software ,17
1698,Thomson Reuters ,17
89,American TeleCare ,16
204,Ben Alman ,16
404,"Data Innovations, LLC ",16
512,Edge Technologies ,16
524,Elastic ,16
538,Emerging Soft ,16
604,Fidelity National Information Services ,16
717,HIMSA ,16
756,ImageWare Systems ,16
821,iRise ,16
873,JetBrains ,16
951,LEAD Technologies ,16
987,Lumension ,16
1004,Marionette ,16
1054,"Mesa Monitoring, Inc. ",16
1142,NCI ,16
1168,"Neverfail, Inc. ",16
1368,ProQuest LLC ,16
1529,Siemens Hearing Instruments ,16
1713,TOPCON ,16
1757,Unity Technologies ,16
1768,UPS ,16
56,AKCode LLC ,15
149,AssureTec ,15
397,DameWare (part of SolarWinds) ,15
503,DYMO Endicia ,15
723,Honeywell ,15
854,Jason Huggins ,15
875,Jive Software ,15
1046,Medtronic MiniMed ,15
1052,Merge Healthcare Incorporated ,15
1235,Olympus ,15
1255,Open SSL Software Foundation ,15
1277,OWASP ,15
1361,Primus ,15
1379,Python Software Foundation ,15
1400,RARLAB ,15
1413,RedPoint ,15
1442,Roche Diagnostics ,15
1504,"Sea Island Software, Inc. ",15
1586,Splunk ,15
